OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage
50054,2,DELI_ITEM,"Salads, vegetable",3-5 days,,REFRIGERATED
50054,3,DIARY,Buttermilk,1-2 weeks,,REFRIGERATED
50054,4,SHELF_ITEM,"Peas, dried split",12 months,unopened,SHELF
50054,5,BAKERY,"Doughnuts, glazed or cake, dairy cream filled",3-4 days,,REFRIGERATED
50054,6,DIARY,Sour cream,7-21 days,,REFRIGERATED
50054,7,VEGETABLES,Garlic,1 month,,FROZEN
50054,8,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",3 mos. after date,unopened,SHELF
50054,9,PROCESSED_MEAT,"Ham, fully cooked, whole",1 week,,REFRIGERATED
50054,10,SOY,"Soy or rice beverage, soy flour, de-fatted, low-fat",1 year,unopened,SHELF
50054,11,VEGETABLES,Radishes,10-14 days,,REFRIGERATED
50054,12,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",3 mos. after date,unopened,SHELF
50055,1,VEGETABLES,"Squash, summer",4-5 days,,REFRIGERATED
50055,2,SHELF_ITEM,"Gravy, jars and cans",,Use entire can,SHELF
50055,3,BAKERY,"Pies, fruit",1-2 days,,SHELF
50055,4,FROZEN_ITEM,"Sherbet, sorbet",2-4 months,,FROZEN
50055,5,BAKING,Biscuit or pancake mix,15 months,unopened,SHELF
50055,6,VEGETABLES,Bok choy,2-3days,,REFRIGERATED
50055,7,FRUIT,Apples,3 weeks,,REFRIGERATED
50055,8,VEGETABLES,Spinach,10-12 months,,FROZEN
50055,9,SHELF_ITEM,"Juice, boxes",8-12 days,opened,REFRIGERATED
50055,10,CONDIMENTS,"Barbecue sauce, bottled",12 months,unopened,SHELF
50055,11,SHELF_ITEM,"Peas, dried split",12 months,unopened,SHELF
50055,12,SOY,"Soy or rice beverage, refrigerated",7-10 days,,REFRIGERATED
50056,1,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",2 weeks,opened,SHELF
50056,2,DELI_ITEM,Olives,2 weeks,,REFRIGERATED
50056,3,FROZEN_ITEM,Bagels,2 months,,FROZEN
50056,4,FRUIT,"Papaya, mango",1 week,,REFRIGERATED
50056,5,FRUIT,Avocados,,Do not freeze,FROZEN
50056,6,DELI_ITEM,"Side dishes such as cooked vegetables, rice or potatoes",3-4 days,,REFRIGERATED
50056,7,BAKERY,"Cookies, bakery or homemade",2-3 weeks,,SHELF
50056,8,CONDIMENTS,Mustard,1 month,opened,SHELF
50056,9,FROZEN_ITEM,"Topping, whipped",6 months,,FROZEN
50056,10,FRUIT,"Peaches, nectarines",3-4 days,,REFRIGERATED
50056,11,FRUIT,Grapes,1 month,Whole,FROZEN
50056,12,VEGETABLES,"Herbs, fresh",7-10 days,,REFRIGERATED
50056,13,BAKING,"Frosting, canned",1 week,opened,REFRIGERATED
50056,14,FRESH_POULTRY,Giblets,3-4 months,,FROZEN
50056,15,FRUIT,Kiwi Fruit,,Do not freeze,FROZEN
50056,16,COOKIES,"Cookies, packaged",8-12 months,opened,FROZEN
50056,17,SHELLFISH,Live lobsters,2-3 months,,FROZEN
50057,1,DELI_ITEM,"Luncheon meats, store-sliced",3-5 days,,REFRIGERATED
50057,2,VEGETABLES,"Lettuce, iceberg",1-2 weeks,,REFRIGERATED
50057,3,BAKERY,"Cakes, chocolate",1-2 days,,SHELF
50057,4,SHELF_ITEM,"Gravy, dry gravy mixes",1-2 days,opened,REFRIGERATED
50057,5,BAKERY,"Cakes, fruit cake",1 month,,SHELF
50057,6,VEGETABLES,"Herbs, fresh",1-2 months,,FROZEN
50057,7,DIARY,"Cream, whipping, ultrapasteurized",1 month,,REFRIGERATED
50057,8,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED
50057,9,SHELF_ITEM,"Syrup, pancake",12 months,unopened,SHELF
50057,10,SOY,"Soy or rice beverage, shelf stable",3 months or use-by date,unopened,SHELF
50057,11,BAKING,Baking powder,6 months,unopened,SHELF
50057,12,SHELF_ITEM,Tapioca,12 months,opened,SHELF
50057,13,FROZEN_ITEM,Soy meat substitutes,3-4 days,,THAWED
50058,1,BAKERY,"Pies, pumpkin",1-2 months,,FROZEN
50058,2,VEGETABLES,Eggplant,6-8 months,,FROZEN
50058,3,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 days,,REFRIGERATED
50058,4,FRUIT,"Berries, cherries",4 months,,FROZEN
50058,5,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 days,,REFRIGERATED
50058,6,SHELLFISH,"Cooked shellfish, all",3 months,,FROZEN
50058,7,DIARY,Buttermilk,1-2 weeks,,REFRIGERATED
50058,8,BAKERY,"Rolls, filled, meat or vegetables",2 hours,,SHELF
50058,9,SHELF_ITEM,"Jerky, homemade",1-2 months,opened,SHELF
50058,10,FRUIT,Coconuts,2-3 weeks,fresh,REFRIGERATED
50058,11,FRUIT,Melons,1-2 days,,SHELF
50059,1,FISH,"Lean fish (cod, flounder, haddock, halibut, sole, etc.)",1-2 days,,REFRIGERATED
50059,2,SHELF_ITEM,"Herbs, dried",1-2 years,unopened,SHELF
50059,3,SHELF_ITEM,"Jerky, commercially dried",12 months,unopened,SHELF
50059,4,DIARY,"Parmesan, shredded",1 month,opened,REFRIGERATED
50059,5,SOY,Miso,3 months,,REFRIGERATED
50059,6,DELI_ITEM,"Main dishes or meals, hot or refrigerated",3-4 days,,REFRIGERATED
50059,7,SOY,"Soy or rice beverage, Textured soy protein (TSP)",2 years,unopened,SHELF
50059,8,DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,unopened,REFRIGERATED
50059,9,BAKING,Cocoa and Cocoa Mixes,1 year,opened,SHELF
50059,10,PROCESSED_MEAT,"Ham, fully cooked, whole",1-2 months,,FROZEN
50059,11,CONDIMENTS,Chutney,12 months,unopened,SHELF
50060,1,CONDIMENTS,"Ketchup, Cocktail or Chili sauce",1 month,opened,SHELF
50060,2,FRESH_MEAT,"Variety meats (liver, tongue, chitterlings, etc.)",3-4 months,,FROZEN
50060,3,DELI_ITEM,"Cheese, store-sliced, hard cheese such as cheddar or swiss",3-4 weeks,,REFRIGERATED
50060,4,VEGETABLES,Brussels sprouts,10-12 months,,FROZEN
50060,5,BAKING,"Flour, white",6-12 months,unopened,SHELF
50060,6,FROZEN_ITEM,"Fruit such as berries, melons",4-5 days,,THAWED
50060,7,SHELF_ITEM,"Rice, white or wild",6 months,opened,REFRIGERATED
50060,8,DIARY,Yogurt,7-14 days,,REFRIGERATED
50060,9,SHELF_ITEM,"Oils, olive or vegetable",6 months,unopened,SHELF
50060,10,SHELF_ITEM,"Marshmallows, marshmallow creme",2-4 months,unopened,SHELF
50060,11,PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",1 month,,FROZEN
50060,12,VEGETABLES,"Onions, dry",10-12 months,,FROZEN
50061,1,SOY,"Soy or rice beverage, soy beverage powders",3-4 months,opened,SHELF
50061,2,COOKIES,"Cookies, packaged",8-12 months,opened,FROZEN
50061,3,CONDIMENTS,"Salad Dressings, commercial, bottled",10-12 months,unopened,SHELF
50061,4,SHELF_ITEM,"Coffee, instant, jars and tins",2 weeks,opened,REFRIGERATED
50061,5,CONDIMENTS,Pickles,1-2 weeks,opened,REFRIGERATED
50061,6,SHELF_ITEM,"Fruits, dried",6 months,opened,REFRIGERATED
50061,7,SHELF_ITEM,"Baby food, cereal, dry mixes",Use-by date,unopened,SHELF
50061,8,FRESH_MEAT,Cooked meats (after home cooking),2-3 months,,FROZEN
50061,9,SHELF_ITEM,"Jams, jellies, preserves",12 months,unopened,SHELF
50061,10,SHELF_ITEM,"Water, bottled",1-2 years,unopened,SHELF
50061,11,DELI_ITEM,"Cheese, store-sliced, hard cheese such as cheddar or swiss",6 months,,FROZEN
50061,12,FRESH_POULTRY,Giblets,3-4 months,,FROZEN
50061,13,BAKING,"Cornmeal, stone ground or blue",1 month,unopened,SHELF
50061,14,SHELF_ITEM,Potato chips,1-2 weeks,opened,SHELF
50061,15,CONDIMENTS,"Mayonnaise, commercial",2 months,opened,REFRIGERATED
50061,16,SHELF_ITEM,"Tomatoes, sun dried, packed in cellophane",9 months,unopened,SHELF
50062,1,SOY,Tofu,1 week,,REFRIGERATED
50062,2,VEGETABLES,Radishes,10-14 days,,REFRIGERATED
50062,3,CONDIMENTS,Mustard,12 months,opened,REFRIGERATED
50062,4,VEGETABLES,Asparagus,3-4 days,,REFRIGERATED
50062,5,FROZEN_ITEM,"Topping, whipped",6 months,,FROZEN
50062,6,SHELF_ITEM,"Pasta, dry, without eggs",2 years,unopened,SHELF
50062,7,FROZEN_ITEM,"Sherbet, sorbet",2-4 months,,FROZEN
50062,8,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED
50062,9,FRUIT,Bananas,1 month,Whole peeled,FROZEN
50062,10,FRESH_POULTRY,"Duckling or goose, whole",6 months,,FROZEN
50062,11,VEGETABLES,Tomatoes,Until ripe,,SHELF
50062,12,SHELF_ITEM,"Rice, brown",6 months,opened,REFRIGERATED
50063,1,FISH,"Lean fish (cod, flounder, haddock, halibut, sole, etc.)",1-2 days,,REFRIGERATED
50063,2,DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,,FROZEN
50063,3,BAKING,Cornstarch,18 months,unopened,SHELF
50063,4,FROZEN_ITEM,Ice cream,2-4 months,,FROZEN
50063,5,SHELF_ITEM,"Herbs, dried",1-2 years,unopened,SHELF
50063,6,VEGETABLES,Leeks,10-12 months,,FROZEN
50063,7,BAKERY,"Cakes, fruit cake",1 month,,SHELF
50063,8,SHELF_ITEM,"Coffee, instant, jars and tins",12 months,unopened,SHELF
50063,9,VEGETABLES,Potatoes,1-2 weeks,,REFRIGERATED
50063,10,COOKIES,"Cookies, packaged",8-12 months,opened,FROZEN
50063,11,SHELF_ITEM,"Soup mixes, dry bouillon",12 months,opened,SHELF
50063,12,FROZEN_ITEM,"Bread Dough, commercial",Use-by date,,FROZEN
50063,13,SHELF_ITEM,"Gravy, dry gravy mixes",1-2 days,opened,REFRIGERATED
50063,14,FROZEN_ITEM,Soy crumbles and hotdogs,9 months,,FROZEN
50050,1,SOY,Miso,3 months,,REFRIGERATED
50050,2,BAKING,"Cornmeal, stone ground or blue",1 month,unopened,SHELF
50050,3,VEGETABLES,"Lettuce, iceberg",,Do not freeze,FROZEN
50050,4,BAKERY,"Cookies, bakery or homemade",8-12 months,,FROZEN
50050,5,SOY,"Soy or rice beverage, Re-hydrated TSP",3-4 days,opened,REFRIGERATED
50050,6,VEGETABLES,"Onions, dry",2 months,,REFRIGERATED
50050,7,BAKERY,"Cakes, chocolate",4 months,,FROZEN
50050,8,DELI_ITEM,Pudding,Package date,unopened,REFRIGERATED
50050,9,SHELF_ITEM,"Baby food, jars or cans, fruits & vegetables",Use-by date,unopened,SHELF
50050,10,VEGETABLES,"Beans, green or wax",3-4 days,,REFRIGERATED
50050,11,BAKERY,"Pies, fruit",1 week,,REFRIGERATED
50050,12,PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",1 month,,FROZEN
50050,13,BAKERY,"Doughnuts, glazed or cake",1 week,G,REFRIGERATED
50050,14,SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,unopened,SHELF
50050,15,FROZEN_ITEM,"Topping, whipped",2 weeks,,THAWED
50050,16,FROZEN_ITEM,"Fish, breaded",,Do not defrost. Cook frozen.,THAWED
50051,1,SHELF_ITEM,"Peanut butter, commercial",2-3 months,opened,SHELF
50051,2,DELI_ITEM,"Side dishes such as cooked vegetables, rice or potatoes",3-4 days,,REFRIGERATED
50051,3,SHELF_ITEM,"Baby food, jars or cans, fruits & vegetables",2-3 days,opened,REFRIGERATED
50051,4,SHELLFISH,"Crab meat, fresh",4 months,,FROZEN
50051,5,VEGETABLES,Ginger Root,1 month,,FROZEN
50051,6,BAKERY,"Pies, pumpkin",2 hours,,SHELF
50051,7,VEGETABLES,Spinach,10-12 months,,FROZEN
50051,8,DIARY,"Cheese, processed slices",,Do not freeze,FROZEN
50051,9,BAKERY,"Rolls, yeast, partially baked",2 months,,FROZEN
50051,10,SHELF_ITEM,Vinegar,12 months,opened,SHELF
50051,11,SHELF_ITEM,"Baby food, jars or cans, fruits & vegetables",Use-by date,unopened,SHELF
50051,12,DIARY,"Milk, plain or flavored",3 months,,FROZEN
50051,13,DOUGH,Cookie dough,2 months,,FROZEN
50051,14,BAKERY,"Pies, pumpkin",1-2 months,,FROZEN
50051,15,VEGETABLES,Corn on the cob,1-2 days,,REFRIGERATED
50052,1,SOY,Miso,3 months,,REFRIGERATED
50052,2,SMOKEDFISH,"Salmon, whitefish, cold-smoked",5-8 days,,REFRIGERATED
50052,3,DELI_ITEM,Meats covered with gravy or broth,1-2 days,,REFRIGERATED
50052,4,SHELLFISH,"Shrimp, scallops, crayfish, squid",1-2 days,,REFRIGERATED
50052,5,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",2-3 days,opened,REFRIGERATED
50052,6,DIARY,Cream cheese,,Do not freeze,FROZEN
50052,7,CONDIMENTS,"Barbecue sauce, bottled",1 month,opened,SHELF
50052,8,BEVERAGES,"Juice in cartons, fruit drinks, punch",8-12 months,,FROZEN
50052,9,FRUIT,Avocados,,Do not freeze,FROZEN
50052,10,FRUIT,"Berries, cherries",4 months,,FROZEN
50052,11,SHELF_ITEM,Pectin,1 month,opened,SHELF
50052,12,SHELF_ITEM,"Shortening, solid",8 months,unopened,SHELF
50052,13,BAKERY,"Rolls, filled, meat or vegetables",2 months,,FROZEN
50052,14,DIARY,Butter,1-3 months,,REFRIGERATED
50052,15,BAKING,Baking powder,3 months,opened,SHELF
50052,16,VEGETABLES,"Squash, winter",2 weeks,,REFRIGERATED
50052,17,DELI_ITEM,Cheesecake,1 week,,REFRIGERATED
50053,1,BAKERY,"Doughnuts, glazed or cake",1 month,,FROZEN
50053,2,BAKERY,"Cakes, angel food",2 months,,FROZEN
50053,3,BAKERY,"Cakes, angel food",2 months,,FROZEN
50053,4,CONDIMENTS,"Mayonnaise, commercial",2 months,opened,REFRIGERATED
50053,5,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",1 week,opened,SHELF
50053,6,FROZEN_ITEM,"Sausages, uncooked",1-2 months,,FROZEN
50053,7,SHELLFISH,"Shucked clams, mussels and oysters",1-2 days,,REFRIGERATED
50053,8,FROZEN_ITEM,Bagels,1-2 weeks,,THAWED
50053,9,FROZEN_ITEM,"Burritos, sandwiches",2 months,,FROZEN
50053,10,SHELF_ITEM,"Bacon Bits, Imitation",4 months,unopened,SHELF
50053,11,SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,unopened,SHELF
50053,12,SMOKEDFISH,"Salmon, whitefish, hot smoked",package date,,REFRIGERATED
50053,13,VEGETABLES,"Carrots, parsnips",10-12 months,,FROZEN
50053,14,DOUGH,Ready-to-bake pie crust,Use-by date,,REFRIGERATED
50053,15,SHELF_ITEM,"Water, bottled",3 months,opened,SHELF
50053,16,DELI_ITEM,"Chicken, rotisserie or fried",3-4 days,,REFRIGERATED
50054,1,BAKERY,"Pies, fruit",1 week,,REFRIGERATED
50054,2,FRESH_MEAT,Ground meat,3-4 months,,FROZEN
50054,3,SHELF_ITEM,"Pasta, dry, without eggs",1 year,opened,SHELF
50054,4,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, cans",9 mos. after date,unopened,SHELF
50054,5,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",1 week,opened,SHELF
50054,6,CONDIMENTS,Pickles,12 months,unopened,SHELF
50054,7,FROZEN_ITEM,"Fish, raw",1-2 days,,THAWED
50054,8,SHELF_ITEM,"Bacon Bits, Imitation",4 months,opened,SHELF
50054,9,SMOKEDFISH,"Salmon, whitefish, hot smoked",package date,,REFRIGERATED
50054,10,FRUIT,"Peaches, nectarines",3-4 days,,REFRIGERATED
50054,11,PROCESSED_POULTRY,Pieces covered with broth or gravy,6 months,,FROZEN
50054,12,CONDIMENTS,"Olives, black and green",2 weeks,opened,REFRIGERATED
50054,13,SHELF_ITEM,"Marshmallows, marshmallow creme",2-4 months,unopened,SHELF
50054,14,SOY,"Soy or rice beverage, refrigerated",7-10 days,,REFRIGERATED
50054,15,BAKERY,"Pastries, danish",1 week,,REFRIGERATED
50055,1,FROZEN_ITEM,"Pancakes, Waffles",3-4 days,,THAWED
50055,2,VEGETABLES,Celery,1-2 weeks,,REFRIGERATED
50055,3,PROCESSED_MEAT,"Sausage, smoked links, patties",1-2 months,,FROZEN
50055,4,BAKING,"Frosting, canned",3 months,opened,SHELF
50055,5,SHELF_ITEM,"Coffee, whole beans",3-4 months,,FROZEN
50055,6,DELI_ITEM,"Chicken, rotisserie or fried",4 months,,FROZEN
50055,7,VEGETABLES,Eggplant,3-4 days,,REFRIGERATED
50055,8,FISH,Surimi seafood,package date,,REFRIGERATED
50055,9,SHELLFISH,"Cooked shellfish, all",3 months,,FROZEN
50055,10,DIARY,Sour cream,7-21 days,,REFRIGERATED
50055,11,BAKING,Cocoa and Cocoa Mixes,Indefinitely,unopened,SHELF
50055,12,SHELF_ITEM,"Sauce mixes, nondairy (spaghetti, taco, etc.)",Use entire amount,opened,SHELF
50055,13,DIARY,"Egg substitutes, liquid",10 days,unopened,REFRIGERATED
50055,14,DIARY,"Egg substitutes, liquid",,Do not freeze,FROZEN
50055,15,DIARY,Margarine,12 months,,FROZEN
50055,16,SOY,"Soy or rice beverage, shelf stable",3 months or use-by date,unopened,SHELF
50055,17,BEVERAGES,"Juice in cartons, fruit drinks, punch",8-12 months,,FROZEN
50056,1,CONDIMENTS,"Barbecue sauce, bottled",4 months,opened,REFRIGERATED
50056,2,BAKERY,"Cookies, bakery or homemade",2-3 weeks,,SHELF
50056,3,SHELF_ITEM,"Gravy, jars and cans",,Use entire can,SHELF
50056,4,BAKERY,"Cookies, bakery or homemade",8-12 months,,FROZEN
50056,5,FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",3-5 days,,REFRIGERATED
50056,6,BAKERY,"Rolls, yeast, partially baked",1 week,,REFRIGERATED
50056,7,SHELF_ITEM,"Nuts, jars or cans",4-6 months,opened,REFRIGERATED
50056,8,SMOKEDFISH,"Salmon, whitefish, hot smoked",package date,,REFRIGERATED
50056,9,FRUIT,"Peaches, nectarines",3-4 days,,REFRIGERATED
50056,10,CONDIMENTS,"Mayonnaise, commercial",2-3 months,unopened,SHELF
50056,11,FROZEN_ITEM,"Topping, whipped",2 weeks,,THAWED
50056,12,CONDIMENTS,"Barbecue sauce, bottled",4 months,opened,REFRIGERATED
50056,13,DELI_ITEM,"Fruit, cut",Package date,unopened,REFRIGERATED
50056,14,VEGETABLES,"Lettuce, iceberg",,Do not freeze,FROZEN
50056,15,FRUIT,Bananas,2 days,skin will blacken,REFRIGERATED
50056,16,VEGETABLES,Bok choy,2-3days,,REFRIGERATED
50056,17,DELI_ITEM,Olives,2 weeks,,REFRIGERATED
50056,18,SHELF_ITEM,Dry egg noodles,1-2 months,opened,SHELF
50057,1,FROZEN_ITEM,Soy crumbles and hotdogs,3-4 days,,THAWED
50057,2,FRUIT,"Peaches, nectarines",Until ripe,,SHELF
50057,3,DELI_ITEM,Pate,1-2 days,,REFRIGERATED
50057,4,PASTA,"Pasta, fresh",package date,,REFRIGERATED
50057,5,SHELF_ITEM,"Tea, instant",6-12 months,opened,SHELF
50057,6,VEGETABLES,Eggplant,6-8 months,,FROZEN
50057,7,FROZEN_ITEM,"Sausages, precooked",1-2 months,,FROZEN
50057,8,BAKERY,"Rolls, filled, meat or vegetables",2 months,,FROZEN
50057,9,PESTO,Pesto or Sala,package date,unopened,REFRIGERATED
50057,10,SHELF_ITEM,Pectin,1 month,opened,SHELF
50057,11,SHELF_ITEM,"Gravy, dry gravy mixes",,Mix entire packet,SHELF
50057,12,DIARY,"Aerosol can, real whipped cream",,Do not freeze,FROZEN
50058,1,DIARY,"Cream, half-and-half",3-4 days,,REFRIGERATED
50058,2,SHELF_ITEM,"Fruits, dried",6 months,unopened,SHELF
50058,3,FROZEN_ITEM,"TV Dinners, entrees,  breakfast",3 months,,FROZEN
50058,4,SHELF_ITEM,"Yeast, dry, packets and jars",Use by date,unopened,SHELF
50058,5,CONDIMENTS,Mustard,12 months,opened,REFRIGERATED
50058,6,SHELF_ITEM,Pudding mixes,12 months,unopened,SHELF
50058,7,CONDIMENTS,"Barbecue sauce, bottled",12 months,unopened,SHELF
50058,8,FRUIT,Grapes,1 month,Whole,FROZEN
50058,9,VEGETABLES,"Peppers, bell or chile",6-8 months,,FROZEN
50058,10,BAKERY,"Bread, flat (tortillas, pita)",4 months,,FROZEN
50058,11,VEGETABLES,Cauliflower,10-12 months,,FROZEN
50059,1,SHELLFISH,"Crab meat, pasteurized",4 months,,FROZEN
50059,2,FROZEN_ITEM,"TV Dinners, entrees,  breakfast",,Do not defrost. Cook frozen.,THAWED
50059,3,SHELF_ITEM,Dry egg noodles,2 years,unopened,SHELF
50059,4,BAKING,"Cornmeal, regular, degerminated",6-12 months,unopened,SHELF
50059,5,DIARY,"Cream, half-and-half",3-4 days,,REFRIGERATED
50059,6,FROZEN_ITEM,"Pancakes, Waffles",2 months,,FROZEN
50059,7,PROCESSED_MEAT,"Hot dogs, sealed in package",1-2 months,,FROZEN
50059,8,SHELF_ITEM,"Garlic, commercial jars",8 months,unopened,SHELF
50059,9,SHELLFISH,Lobster tails,1-2 days,,REFRIGERATED
50059,10,BAKERY,"Rolls, filled, meat or vegetables",3-4 days,,REFRIGERATED
50059,11,FROZEN_ITEM,Egg substitutes,12 months,,FROZEN
50059,12,FROZEN_ITEM,Egg substitutes,12 months,,FROZEN
50059,13,SHELF_ITEM,"Bacon Bits, Imitation",refer to jar,opened,REFRIGERATED
50059,14,VEGETABLES,Tomatoes,Until ripe,,SHELF
50059,15,SHELF_ITEM,"Spices, whole",2-4 years,opened,SHELF
50059,16,BAKERY,"Cakes, fruit cake",12 months,,FROZEN
50059,17,VEGETABLES,"Beans, green or wax",8 months,,FROZEN
50060,1,DELI_ITEM,"Side dishes such as cooked vegetables, rice or potatoes",3-4 days,,REFRIGERATED
50060,2,PROCESSED_MEAT,"Ham, cook before eating",1-2 months,,FROZEN
50060,3,BAKING,"Frosting, canned",1 week,opened,REFRIGERATED
50060,4,CONDIMENTS,"Horseradish, in jar",12 months,unopened,SHELF
50060,5,DOUGH,Ready-to-bake pie crust,2 months,,FROZEN
50060,6,SHELF_ITEM,"Tea, loose",2 years,unopened,SHELF
50060,7,BAKERY,"Pies, fruit",8 months,,FROZEN
50060,8,FRUIT,Apples,3 weeks,,REFRIGERATED
50060,9,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: regular sodas, bottles",2 weeks,opened,SHELF
50060,10,CRACKERS,Crackers,3-4 months,opened,REFRIGERATED
50060,11,SHELF_ITEM,"Canned goods, low acid (such as meat, poultry, fish, gravy, stew, soups, beans, carrots, corn, pasta, peas, potatoes, spinach)",2-5 years,unopened,SHELF
50061,1,DIARY,"Aerosol can, real whipped cream",,Do not freeze,FROZEN
