OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage,Quantity
20052,13,CONDIMENTS,"Barbecue sauce, bottled",4 months,opened,REFRIGERATED,130
20052,14,DIARY,"Aerosol can, nondairy topping",,Do not freeze,FROZEN,105
20052,15,SHELF_ITEM,"Oils, olive or vegetable",4 months,opened,REFRIGERATED,140
20052,16,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 days,,REFRIGERATED,115
20052,17,DIARY,Buttermilk,3 months,,FROZEN,125
20052,18,FRESH_MEAT,Cooked meats (after home cooking),2-3 months,,FROZEN,115
20052,19,FROZEN_ITEM,Soy meat substitutes,12-18 months,,FROZEN,125
20052,20,VEGETABLES,"Herbs, fresh",7-10 days,,REFRIGERATED,105
20052,21,CRACKERS,Crackers,3-4 months,opened,FROZEN,135
20052,22,PROCESSED_POULTRY,"Lunch meats, sealed in package",1-2 months,,FROZEN,130
20052,23,DELI_ITEM,"Fruit, cut",,Do not freeze,FROZEN,110
20052,24,DIARY,"Cream, half-and-half",4 months,,FROZEN,120
20052,25,SHELF_ITEM,"Jerky, homemade",1-2 months,opened,REFRIGERATED,125
20052,26,FRUIT,Coconuts,2-3 weeks,fresh,REFRIGERATED,145
20052,27,BAKERY,"Cakes, chiffon, sponge",1 week,,REFRIGERATED,120
20052,28,SOY,Miso,,Do not freeze,FROZEN,130
20052,29,PROCESSED_MEAT,"Sausage, smoked links, patties",1 week,,REFRIGERATED,145
20052,30,FROZEN_ITEM,Soy crumbles and hotdogs,3-4 days,,THAWED,145
20053,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,145
20053,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,120
20053,3,DIARY,Margarine,12 months,,FROZEN,130
20053,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,105
20053,5,SOY,Tofu,1 week,,REFRIGERATED,145
20053,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,130
20053,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,110
20053,8,FRUIT,Apples,1-2 days,,SHELF,115
20053,9,FRUIT,Bananas,Until ripe,,SHELF,120
20053,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,145
20053,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,135
20053,12,DIARY,"Eggs, raw whites, yolks*",12 months,,FROZEN,100
20053,13,DOUGH,Ready-to-bake pie crust,Use-by date,,REFRIGERATED,130
20053,14,DIARY,"Egg substitutes, liquid",,Do not freeze,FROZEN,145
20053,15,FISH,"Caviar, fresh, in jar",1-4 weeks,unopened,REFRIGERATED,110
20053,16,FRESH_POULTRY,Giblets,1-2 days,,REFRIGERATED,110
20053,17,BAKERY,"Pies, pumpkin",3-4 days,,REFRIGERATED,145
20053,18,DIARY,"Eggnog, commercial",6 months,,FROZEN,115
20053,19,SHELLFISH,"Cooked shellfish, all",3-4 days,,REFRIGERATED,145
20053,20,FRESH_POULTRY,"Chicken or turkey, whole",12 months,,FROZEN,145
20053,21,SHELF_ITEM,"Garlic, commercial jars",date on jar,opened,REFRIGERATED,140
20053,22,SHELF_ITEM,"Baby food, formula",1-2 days,opened,REFRIGERATED,145
20053,23,FROZEN_ITEM,Bagels,2 months,,FROZEN,110
20053,24,BAKERY,Quiche,2 months,,FROZEN,130
20053,25,FRUIT,Melons,3-4 days,,REFRIGERATED,115
20053,26,FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",4 months,,FROZEN,120
20053,27,BAKERY,Cheesecake,1 week,,REFRIGERATED,115
20053,28,VEGETABLES,"Herbs, fresh",7-10 days,,REFRIGERATED,120
20053,29,FRUIT,Grapes,1 month,Whole,FROZEN,115
20053,30,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,100
20053,31,VEGETABLES,Radishes,10-14 days,,REFRIGERATED,135
20053,32,FROZEN_ITEM,"Fish, raw",6 months,,FROZEN,145
20053,33,SHELF_ITEM,"Soda such as carbonated cola drinks, mixers: diet sodas, bottles or cans",2-3 days,opened,REFRIGERATED,110
20053,34,FISH,Surimi seafood,3-4 days,,REFRIGERATED,105
20053,35,VEGETABLES,Spinach,1-2 days,,REFRIGERATED,110
20053,36,VEGETABLES,"Carrots, parsnips",3 weeks,,REFRIGERATED,140
20054,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,125
20054,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,100
20054,3,DIARY,Margarine,12 months,,FROZEN,110
20054,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,100
20054,5,SOY,Tofu,1 week,,REFRIGERATED,140
20054,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,110
20054,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,110
20054,8,FRUIT,Apples,1-2 days,,SHELF,130
20054,9,FRUIT,Bananas,Until ripe,,SHELF,115
20054,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,110
20054,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,115
20054,12,VEGETABLES,Garlic,1 month,,FROZEN,145
20054,13,BAKERY,"Bread, flat (tortillas, pita)",4-7 days,,REFRIGERATED,130
20054,14,DIARY,Yogurt,7-14 days,,REFRIGERATED,135
20054,15,DIARY,"Aerosol can, nondairy topping",3 months,,REFRIGERATED,110
20054,16,SMOKEDFISH,Herring,3-4 days,,REFRIGERATED,130
20054,17,DIARY,"Parmesan, shredded",3-4 months,,FROZEN,135
20054,18,VEGETABLES,Cucumbers,4-5 days,,REFRIGERATED,145
20054,19,SHELF_ITEM,"Gravy, jars and cans",1-2 days,opened,REFRIGERATED,100
20054,20,DELI_ITEM,Pate,1-2 months,,FROZEN,145
20054,21,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 months,,FROZEN,130
20054,22,FROZEN_ITEM,"Shrimp, shellfish",1-2 days,,THAWED,135
20054,23,PROCESSED_MEAT,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED,105
20054,24,SHELLFISH,"Crab meat, pasteurized",3-5 days,opened,REFRIGERATED,145
20054,25,DOUGH,Cookie dough,Use by date,unopened,REFRIGERATED,125
20054,26,DELI_ITEM,"Cheese, store-sliced, hard cheese such as cheddar or swiss",3-4 weeks,,REFRIGERATED,135
20054,27,BAKERY,"Doughnuts, glazed or cake",1 week,G,REFRIGERATED,125
20054,28,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",2 weeks,opened,REFRIGERATED,145
20054,29,SHELF_ITEM,"Spices, paprika, red pepper, & chili powder",2 years,opened,REFRIGERATED,145
20054,30,VEGETABLES,"Beans, green or wax",8 months,,FROZEN,140
20054,31,DIARY,"Milk, plain or flavored",3 months,,FROZEN,100
20054,32,SHELLFISH,Lobster tails,1-2 days,,REFRIGERATED,110
20054,33,FROZEN_ITEM,Soy meat substitutes,3-4 days,,THAWED,120
20054,34,FROZEN_ITEM,"Sausages, uncooked",1-2 days,,THAWED,100
20054,35,DIARY,Cream cheese,,Do not freeze,FROZEN,130
20054,36,DIARY,Butter,6-9 months,,FROZEN,120
20054,37,PROCESSED_POULTRY,Pieces covered with broth or gravy,1-2 days,,REFRIGERATED,115
20054,38,FRUIT,"Pears, Plums",3-4 days,,REFRIGERATED,100
20055,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,115
20055,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,140
20055,3,DIARY,Margarine,12 months,,FROZEN,110
20055,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,130
20055,5,SOY,Tofu,1 week,,REFRIGERATED,135
20055,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,100
20055,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,120
20055,8,FRUIT,Apples,1-2 days,,SHELF,140
20055,9,FRUIT,Bananas,Until ripe,,SHELF,115
20055,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,145
20055,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,120
20055,12,PROCESSED_POULTRY,Ground turkey or chicken,1-2 days,,REFRIGERATED,130
20055,13,VEGETABLES,Celery,10-12 months,,FROZEN,105
20055,14,SHELLFISH,Live lobsters,2-3 months,,FROZEN,115
20055,15,BAKING,"Cornmeal, regular, degerminated",12 months,opened,REFRIGERATED,115
20055,16,SMOKEDFISH,"Salmon, whitefish, hot smoked",14 days,,REFRIGERATED,145
20055,17,FRUIT,Kiwi Fruit,,Do not freeze,FROZEN,125
20055,18,BAKERY,"Cakes, pound cake",1 week,,REFRIGERATED,105
20055,19,FRUIT,"Papaya, mango",1 week,,REFRIGERATED,140
20055,20,SHELF_ITEM,"Baby food, jars or cans, fruits & vegetables",2-3 days,opened,REFRIGERATED,120
20055,21,VEGETABLES,Greens,1-2 days,,REFRIGERATED,130
20055,22,SHELLFISH,"Crab legs, king, dungeness, snow",5 days,,REFRIGERATED,100
20055,23,VEGETABLES,Brussels sprouts,10-12 months,,FROZEN,145
20055,24,SOY,Tofu,5 months,,FROZEN,130
20055,25,SMOKEDFISH,Herring,2 months,,FROZEN,100
20055,26,DIARY,"Cheese, processed slices",,Do not freeze,FROZEN,135
20055,27,VEGETABLES,Garlic,1-2 weeks,,REFRIGERATED,100
20055,28,VEGETABLES,"Peppers, bell or chile",4-5 days,,REFRIGERATED,140
20055,29,BEVERAGES,"Juice in cartons, fruit drinks, punch",7-10 days,opened,REFRIGERATED,120
20055,30,PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",5-7 days,,REFRIGERATED,100
20055,31,BAKERY,Muffins,2 months,,FROZEN,115
20055,32,VEGETABLES,"Artichokes, whole",,Do not freeze,FROZEN,140
20055,33,BAKERY,"Bread, flat (tortillas, pita)",4 months,,FROZEN,125
20055,34,SHELLFISH,Lobster tails,1-2 days,,REFRIGERATED,115
20055,35,VEGETABLES,"Onions, Spring or green",1-2 weeks,,REFRIGERATED,145
20055,36,VEGETABLES,Potatoes,10-12 months,Cooked and mashed,FROZEN,100
20055,37,FRUIT,Kiwi Fruit,,Do not freeze,FROZEN,120
20055,38,SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",2 weeks,opened,REFRIGERATED,100
20055,39,FRUIT,Melons,1 month,Balls,FROZEN,115
20056,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,125
20056,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,130
20056,3,DIARY,Margarine,12 months,,FROZEN,105
20056,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,135
20056,5,SOY,Tofu,1 week,,REFRIGERATED,125
20056,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,140
20056,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,145
20056,8,FRUIT,Apples,1-2 days,,SHELF,145
20056,9,FRUIT,Bananas,Until ripe,,SHELF,105
20056,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,115
20056,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,135
20056,12,PROCESSED_POULTRY,"Lunch meats, sealed in package",1-2 months,,FROZEN,135
20056,13,DIARY,Margarine,6 months,,REFRIGERATED,145
20056,14,DIARY,"Eggnog, commercial",3-5 days,,REFRIGERATED,145
20056,15,DOUGH,Ready-to-bake pie crust,2 months,,FROZEN,115
20056,16,DELI_ITEM,"Cheese, soft (such as brie, bel paese, goat cheese, fresh mozzarella)",6 months,,FROZEN,120
20056,17,VEGETABLES,Eggplant,6-8 months,,FROZEN,140
20056,18,VEGETABLES,Radishes,,Do not freeze,FROZEN,125
20056,19,FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",4-12 months,,FROZEN,130
20056,20,DELI_ITEM,Pudding,Package date,unopened,REFRIGERATED,110
20056,21,VEGETABLES,Cucumbers,4-5 days,,REFRIGERATED,120
20056,22,DIARY,Butter,6-9 months,,FROZEN,125
20056,23,FRUIT,Bananas,1 month,Whole peeled,FROZEN,100
20056,24,DELI_ITEM,Cheesecake,2-3 months,,FROZEN,105
20056,25,FROZEN_ITEM,Soy crumbles and hotdogs,9 months,,FROZEN,145
20056,26,SMOKEDFISH,Herring,2 months,,FROZEN,100
20056,27,FRUIT,Apples,8 months,Cooked,FROZEN,120
20056,28,PESTO,Pesto or Sala,1-2 months,,FROZEN,140
20056,29,VEGETABLES,Beets,7-10 days,,REFRIGERATED,135
20056,30,BAKERY,"Rolls, yeast, partially baked",1 week,,REFRIGERATED,125
20056,31,PESTO,Pesto or Sala,1-2 months,,FROZEN,100
20056,32,PROCESSED_POULTRY,Fried chicken,4 months,,FROZEN,105
20056,33,PROCESSED_POULTRY,"Lunch meats, sealed in package",1-2 months,,FROZEN,135
20057,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,75
20057,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,75
20057,3,DIARY,Margarine,12 months,,FROZEN,75
20057,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,69
20057,5,SOY,Tofu,1 week,,REFRIGERATED,84
20057,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,66
20057,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,69
20057,8,FRUIT,Apples,1-2 days,,SHELF,75
20057,9,FRUIT,Bananas,Until ripe,,SHELF,84
20057,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,84
20057,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,69
20057,12,FROZEN_ITEM,Bagels,1-2 weeks,,THAWED,66
20057,13,PROCESSED_POULTRY,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED,78
20057,14,PROCESSED_MEAT,"Ham, fully cooked, slices or half",3-4 days,,REFRIGERATED,78
20057,15,DELI_ITEM,"Fruit, cut",,Do not freeze,FROZEN,84
20057,16,DIARY,"Aerosol can, real whipped cream",,Do not freeze,FROZEN,60
20057,17,BEVERAGES,"Juice in cartons, fruit drinks, punch",8-12 months,,FROZEN,69
20057,18,PROCESSED_POULTRY,Fried chicken,3-4 days,,REFRIGERATED,72
20057,19,FRUIT,Apricots,2-3 days,,REFRIGERATED,84
20057,20,DIARY,"Aerosol can, nondairy topping",,Do not freeze,FROZEN,75
20057,21,PROCESSED_POULTRY,Cooked poultry dishes,3-4 days,,REFRIGERATED,81
20057,22,VEGETABLES,"Beans, green or wax",8 months,,FROZEN,75
20057,23,FRUIT,Grapes,1 week,,REFRIGERATED,75
20057,24,VEGETABLES,Corn on the cob,8 months,,FROZEN,69
20057,25,FRUIT,Coconuts,6 months,Shredded,FROZEN,84
20057,26,FRUIT,Avocados,3-4 days,,REFRIGERATED,66
20057,27,BAKERY,"Pies, pecan",1-2 months,,FROZEN,81
20057,28,DIARY,Cream cheese,2 weeks,,REFRIGERATED,72
20057,29,PROCESSED_MEAT,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED,87
20057,30,CONDIMENTS,"Olives, black and green",2 weeks,opened,REFRIGERATED,87
20057,31,COOKIES,"Cookies, packaged",8-12 months,opened,FROZEN,81
20057,32,VEGETABLES,Corn on the cob,1-2 days,,REFRIGERATED,60
20057,33,DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",Use-by date,,REFRIGERATED,87
20058,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,69
20058,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,87
20058,3,DIARY,Margarine,12 months,,FROZEN,87
20058,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,72
20058,5,SOY,Tofu,1 week,,REFRIGERATED,78
20058,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,87
20058,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,66
20058,8,FRUIT,Apples,1-2 days,,SHELF,78
20058,9,FRUIT,Bananas,Until ripe,,SHELF,72
20058,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,60
20058,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,69
20058,12,VEGETABLES,Eggplant,3-4 days,,REFRIGERATED,87
20058,13,BAKERY,"Cakes, fruit cake",12 months,,FROZEN,84
20058,14,DIARY,"Eggs, raw whites, yolks*",12 months,,FROZEN,63
20058,15,BAKERY,"Pies, pumpkin",3-4 days,,REFRIGERATED,60
20058,16,FROZEN_ITEM,"Sausages, uncooked",1-2 months,,FROZEN,75
20058,17,DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",Use-by date,,REFRIGERATED,84
20058,18,FROZEN_ITEM,Lobster tails,3 months,,FROZEN,72
20058,19,DELI_ITEM,"Salads containing meat, fish, poultry or eggs",,Do not freeze,FROZEN,87
20058,20,FROZEN_ITEM,"Sausages, precooked",1 week,,THAWED,66
20058,21,VEGETABLES,Cauliflower,3-5 days,,REFRIGERATED,87
20058,22,VEGETABLES,"Onions, dry",2 months,,REFRIGERATED,84
20058,23,BAKERY,"Pies, chiffon",1-2 days,,REFRIGERATED,63
20058,24,SHELLFISH,"Shucked clams, mussels and oysters",1-2 days,,REFRIGERATED,69
20058,25,SHELLFISH,"Cooked shellfish, all",3 months,,FROZEN,84
20058,26,FISH,Surimi seafood,3-4 days,,REFRIGERATED,72
20058,27,SOY,Miso,,Do not freeze,FROZEN,78
20058,28,DIARY,"Cheese, soft (such as Brie, Bel Paese)",1 week,,REFRIGERATED,72
20058,29,PROCESSED_POULTRY,Ground turkey or chicken,1-2 days,,REFRIGERATED,63
20058,30,PROCESSED_MEAT,"Hot dogs, sealed in package",2 weeks,,REFRIGERATED,60
20058,31,SHELF_ITEM,"Gravy, jars and cans",1-2 days,opened,REFRIGERATED,75
20058,32,BAKING,"Cornmeal, stone ground or blue",2-3 months,opened,REFRIGERATED,78
20058,33,SHELF_ITEM,"Baby food, formula",1-2 days,opened,REFRIGERATED,60
20058,34,VEGETABLES,Eggplant,3-4 days,,REFRIGERATED,69
20059,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,63
20059,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,75
20059,3,DIARY,Margarine,12 months,,FROZEN,72
20059,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,84
20059,5,SOY,Tofu,1 week,,REFRIGERATED,75
20059,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,60
20059,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,69
20059,8,FRUIT,Apples,1-2 days,,SHELF,78
20059,9,FRUIT,Bananas,Until ripe,,SHELF,87
20059,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,81
20059,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,84
20059,12,DIARY,"Aerosol can, nondairy topping",3 months,,REFRIGERATED,81
20059,13,CRACKERS,Crackers,3-4 months,opened,FROZEN,87
20059,14,FRUIT,Kiwi Fruit,3-4 days,,REFRIGERATED,78
20059,15,FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",4 months,,FROZEN,60
20059,16,VEGETABLES,Spinach,10-12 months,,FROZEN,81
20059,17,DIARY,"Cream, half-and-half",4 months,,FROZEN,75
20059,18,CONDIMENTS,"Salad Dressings, commercial, bottled",3 months,opened,REFRIGERATED,78
20059,19,PROCESSED_MEAT,"Lunch meats, sealed in package",2 weeks,,REFRIGERATED,60
20059,20,DELI_ITEM,"Fruit, cut",,Do not freeze,FROZEN,63
20059,21,DELI_ITEM,"Cheese, store-sliced, hard cheese such as cheddar or swiss",3-4 weeks,,REFRIGERATED,69
20059,22,PROCESSED_MEAT,"Ham, cook before eating",1-2 months,,FROZEN,81
20059,23,VEGETABLES,"Beans, green or wax",3-4 days,,REFRIGERATED,69
20059,24,DOUGH,Cookie dough,Use by date,opened,REFRIGERATED,84
20059,25,DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,,FROZEN,78
20059,26,FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",3-5 days,,REFRIGERATED,78
20059,27,BAKERY,"Cakes, chocolate",4 months,,FROZEN,66
20059,28,VEGETABLES,"Squash, winter",10-12 months,,FROZEN,87
20059,29,SHELF_ITEM,"Coffee, whole beans",3-4 months,,FROZEN,87
20059,30,SHELLFISH,"Cooked shellfish, all",3 months,,FROZEN,66
20059,31,PROCESSED_MEAT,"Sausage, smoked links, patties",1-2 months,,FROZEN,66
20059,32,DOUGH,Cookie dough,Use by date,opened,REFRIGERATED,87
20059,33,FRUIT,Apples,8 months,Cooked,FROZEN,60
20059,34,DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",,Do not freeze,FROZEN,84
20059,35,DIARY,Kefir (fermented milk),1-2 days,opened,REFRIGERATED,69
20060,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,60
20060,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,63
20060,3,DIARY,Margarine,12 months,,FROZEN,72
20060,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,75
20060,5,SOY,Tofu,1 week,,REFRIGERATED,60
20060,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,69
20060,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,63
20060,8,FRUIT,Apples,1-2 days,,SHELF,69
20060,9,FRUIT,Bananas,Until ripe,,SHELF,66
20060,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,66
20060,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,60
20060,12,BAKERY,"Rolls, filled, meat or vegetables",2 months,,FROZEN,78
20060,13,BAKERY,"Doughnuts, glazed or cake",1 week,G,REFRIGERATED,60
20060,14,FROZEN_ITEM,Soy meat substitutes,3-4 days,,THAWED,66
20060,15,FISH,"Lean fish (cod, flounder, haddock, halibut, sole, etc.)",6-8 months,,FROZEN,78
20060,16,VEGETABLES,Turnips,2 weeks,,REFRIGERATED,66
20060,17,SOY,"Soy or rice beverage, soy flour, full-fat",6 months,opened,REFRIGERATED,69
20060,18,FRUIT,"Pears, Plums",3-4 days,,REFRIGERATED,81
20060,19,FROZEN_ITEM,"Sherbet, sorbet",2-4 months,,FROZEN,78
20060,20,FROZEN_ITEM,Lobster tails,3 months,,FROZEN,63
20060,21,BAKERY,Quiche,3-4 days,,REFRIGERATED,84
20060,22,DIARY,"Dips, sour cream based",2 weeks,,REFRIGERATED,84
20060,23,DIARY,"Eggs, hard cooked",,Do not freeze,FROZEN,78
20060,24,VEGETABLES,Bok choy,10-12 months,,FROZEN,87
20060,25,PROCESSED_POULTRY,Pieces covered with broth or gravy,6 months,,FROZEN,60
20060,26,BAKERY,"Bread, flat (tortillas, pita)",4-7 days,,REFRIGERATED,84
20060,27,DELI_ITEM,Pate,1-2 days,,REFRIGERATED,87
20060,28,FRUIT,Apricots,2-3 days,,REFRIGERATED,72
20060,29,FROZEN_ITEM,"Burritos, sandwiches",2 months,,FROZEN,72
20060,30,VEGETABLES,Asparagus,8 months,,FROZEN,81
20060,31,BAKERY,"Eclairs, dairy cream filled",3-4 days,,REFRIGERATED,69
20060,32,BAKERY,"Rolls, yeast, baked",2 months,,FROZEN,63
20060,33,BAKERY,"Pies, fruit",8 months,,FROZEN,72
20060,34,FRUIT,"Peaches, nectarines",2 months,"Sliced, lemon juice & sugar",FROZEN,84
20060,35,PROCESSED_MEAT,"Lunch meats, sealed in package",1-2 months,,FROZEN,81
20060,36,SHELF_ITEM,"Rice, white or wild",6 months,opened,REFRIGERATED,66
20060,37,DIARY,"Dips, sour cream based",,Do not freeze,FROZEN,78
20061,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,66
20061,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,60
20061,3,DIARY,Margarine,12 months,,FROZEN,60
